sar,type,mean,sigma
6.019872881883755,uniform,16,13
6.020427945139342,uniform,48,13
6.020585642444494,bimodal,14,13
6.022765513988231,uniform,3,21
6.022844289484646,uniform,36,5
6.023840877266061,uniform,13,17
6.02454600655423,uniform,23,2
6.024788668695239,uniform,21,23
6.024793610822186,uniform,1,15
6.025340031691061,peripheral,3,20
6.025353944993999,uniform,36,4
6.025761745372094,bimodal,21,14
6.026238327594456,uniform,4,14
6.0271712830222794,peripheral,46,25
6.027777315661707,peripheral,26,42
6.02919917122981,bimodal,13,11
6.029684898154375,uniform,29,11
6.032079517853426,peripheral,27,11
6.032432538020169,bimodal,22,20
6.033193293167203,uniform,38,7
6.033905951925821,peripheral,24,16
6.034261308495346,uniform,31,10
6.035269296516387,bimodal,16,28
6.036093573314146,bimodal,17,7
6.036851091702452,peripheral,34,38
6.038146133845698,bimodal,16,7
6.038185854677252,uniform,26,19
6.038953309736876,bimodal,28,9
6.039266633570025,peripheral,17,15
6.03937871601304,peripheral,21,23
6.039403305299681,bimodal,27,10
6.0394071544707915,peripheral,10,19
6.040216946718962,bimodal,13,10
6.040393545500068,peripheral,8,15
6.041153764122329,central,0,19
6.041306665798699,peripheral,20,16
6.044287717801033,bimodal,19,27
6.044431466649526,uniform,36,23
6.0452179217419015,uniform,25,13
6.045325674004419,uniform,32,22
6.045369227903656,peripheral,27,24
6.046608922604746,bimodal,12,22
6.047190604212317,uniform,39,6
6.048085072632283,bimodal,18,15
6.0490702791656705,uniform,15,27
6.051446349140791,uniform,13,24
6.0514887805042665,uniform,18,10
6.05183016030155,bimodal,15,36
6.051976187220139,uniform,4,13
6.052488536057728,uniform,15,17
6.052987758311469,peripheral,5,24
6.053173773938005,peripheral,19,24
6.053298980498781,peripheral,38,41
6.053443741997466,bimodal,18,16
6.053608322047606,uniform,26,7
6.053836798161894,peripheral,15,29
6.054656388970584,bimodal,30,3
6.054820166923773,bimodal,10,48
6.055098402602875,bimodal,49,30
6.0560729547662895,peripheral,30,7
6.056751615710598,uniform,8,39
6.056911185867781,peripheral,9,32
6.057001303480959,uniform,10,13
6.057380795473599,uniform,31,31
6.058265895810046,bimodal,6,13
6.058448187164376,uniform,29,2
6.059495590149286,bimodal,16,17
6.0601155163540215,uniform,34,9
6.0605961927810865,bimodal,22,10
6.060654631798995,uniform,23,8
6.060973512073783,bimodal,29,2
6.063054293455732,uniform,3,26
6.0630655271276535,uniform,22,5
6.063348281321636,peripheral,37,30
6.063419366462956,uniform,19,18
6.063899405973857,bimodal,6,46
6.064235908038767,bimodal,35,27
6.065321308627894,bimodal,4,18
6.065753010972737,peripheral,2,23
6.065785041253815,bimodal,19,31
6.066125112802859,bimodal,17,21
6.066569524208921,peripheral,13,34
6.066580569350245,bimodal,19,18
6.068658980412824,uniform,38,16
6.070418528655717,peripheral,1,28
6.070727975629421,uniform,30,15
6.07095395273625,uniform,16,10
6.071499638176643,uniform,50,11
6.0716813021553815,bimodal,12,15
6.0725829543696825,bimodal,20,30
6.072798440557052,uniform,2,22
6.072977926693803,peripheral,25,31
6.073238924423489,peripheral,49,40
